hotel_id,hotel_code,hotel_name,hotel_type,star_rating,total_rooms,address,location_area,distance_to_beach_m,has_pool,has_spa,has_restaurant,data_source
-1,UNKNOWN,Unknown Competitor,Competitor,0,0,Unknown,Unknown,0,0,0,0,Unknown
1,HAIAN,HAIAN Beach Hotel & Spa,Internal,4,214,"278 Vo Nguyen Giap, Da Nang",My Khe Beach / My An,50,1,1,1,Simulated PMS based on public hotel profile
2,MUONG_THANH,Muong Thanh Luxury Da Nang Hotel,Competitor,5,583,"270 Vo Nguyen Giap, Da Nang",My Khe Beach / My An,50,1,1,1,Competitor Profile
3,SALA,Sala Danang Beach Hotel,Competitor,4,162,"36 Lam Hoanh, Da Nang",My Khe Beach / My An,100,1,1,1,Competitor Profile
4,STELLA,Stella Maris Beach Danang,Competitor,4,97,"03 Vo Van Kiet, Da Nang",My Khe Beach / My An,150,1,1,1,Competitor Profile
5,NOVOTEL,Novotel Danang Premier Han River,Competitor,5,323,"36 Bach Dang, Da Nang",Han River,3000,1,1,1,Competitor Profile
6,AUTO_GEN,Son Tra Area - My Khe Beach,Competitor,0,0,Unknown,Unknown,0,0,0,0,Scraper Auto-Discovery
7,AUTO_GEN,Indo Boutique Apartment - Walk to My Khe Beach,Competitor,0,0,Unknown,Unknown,0,0,0,0,Scraper Auto-Discovery
8,AUTO_GEN,MangDiang House & Apartment - Đà Nẵng,Competitor,0,0,Unknown,Unknown,0,0,0,0,Scraper Auto-Discovery
9,AUTO_GEN,Orange City Center Hotel Da Nang - Near Han Market & Dragon Brigde,Competitor,0,0,Unknown,Unknown,0,0,0,0,Scraper Auto-Discovery
10,AUTO_GEN,LangX Heaven Hotel & Apartment,Competitor,0,0,Unknown,Unknown,0,0,0,0,Scraper Auto-Discovery
11,AUTO_GEN,Sen Boutique Villa Apartment,Competitor,0,0,Unknown,Unknown,0,0,0,0,Scraper Auto-Discovery
12,AUTO_GEN,MAIA Boutique Hotel Da Nang,Competitor,0,0,Unknown,Unknown,0,0,0,0,Scraper Auto-Discovery
13,AUTO_GEN,7 Seven Sea Hotel,Competitor,0,0,Unknown,Unknown,0,0,0,0,Scraper Auto-Discovery
14,AUTO_GEN,Luxury Apartment in Beach Front Building with Ocean View,Competitor,0,0,Unknown,Unknown,0,0,0,0,Scraper Auto-Discovery
15,AUTO_GEN,FIRST Studio Hotel Da Nang,Competitor,0,0,Unknown,Unknown,0,0,0,0,Scraper Auto-Discovery
16,AUTO_GEN,Serenity Retreat,Competitor,0,0,Unknown,Unknown,0,0,0,0,Scraper Auto-Discovery
17,AUTO_GEN,Sekong Hotel Da Nang,Competitor,0,0,Unknown,Unknown,0,0,0,0,Scraper Auto-Discovery
18,AUTO_GEN,Luxury Apartment with Ocean View - 1 minute to beach,Competitor,0,0,Unknown,Unknown,0,0,0,0,Scraper Auto-Discovery
19,AUTO_GEN,Royal Lotus Hotel Danang,Competitor,0,0,Unknown,Unknown,0,0,0,0,Scraper Auto-Discovery
20,AUTO_GEN,Sen Boutique Hotel,Competitor,0,0,Unknown,Unknown,0,0,0,0,Scraper Auto-Discovery
21,AUTO_GEN,Kim Ngan Phat Luxury,Competitor,0,0,Unknown,Unknown,0,0,0,0,Scraper Auto-Discovery
22,AUTO_GEN,Minh Toan SAFI Ocean Hotel,Competitor,0,0,Unknown,Unknown,0,0,0,0,Scraper Auto-Discovery
23,AUTO_GEN,Vernal Hotel & Apartment Da Nang,Competitor,0,0,Unknown,Unknown,0,0,0,0,Scraper Auto-Discovery
24,AUTO_GEN,Draco Hotel & Suites,Competitor,0,0,Unknown,Unknown,0,0,0,0,Scraper Auto-Discovery
25,AUTO_GEN,Avatar Danang Hotel,Competitor,0,0,Unknown,Unknown,0,0,0,0,Scraper Auto-Discovery
26,AUTO_GEN,Casa Rosa Apartment,Competitor,0,0,Unknown,Unknown,0,0,0,0,Scraper Auto-Discovery
27,AUTO_GEN,DiStay Beachfront Suites - Da Nang,Competitor,0,0,Unknown,Unknown,0,0,0,0,Scraper Auto-Discovery
28,AUTO_GEN,CODI SEA Hotel & Travel,Competitor,0,0,Unknown,Unknown,0,0,0,0,Scraper Auto-Discovery
29,AUTO_GEN,Eden Ocean View Hotel Da Nang,Competitor,0,0,Unknown,Unknown,0,0,0,0,Scraper Auto-Discovery
